"ADMIN_ARTICLES_ADD";"Dodaj podstronę"
"ADMIN_ARTICLES_LIST_ALL";"Lista - wszystkie"
"ADMIN_ARTICLES_LIST_ACTIVE";"Lista - aktywne"
"ADMIN_ARTICLES_LIST_INACTIVE";"Lista - nieaktywne"


"ARTICLES_FORM_NAVI_GLOBAL";"Globalne"
"ARTICLES_FORM_NAVI_CONTENT";"Treść"
"ARTICLES_FORM_NAVI_META";"Meta"
"ADMIN_ARTICLES_FORM_ADD";"Podstrony - dodawanie"
"ADMIN_NEWS_FORM_EDIT";"Podstrona - edycja" 

"FORMS_ADMIN_NAME";"Nazwa"
"FORMS_ADMIN_ARTICLES_CATEGORIES";"Kategorie"
"FORMS_ADMIN_ARTICLES_FEATURED";"Wyświetl na stronie głównej"
"FORMS_ADMIN__SAVE";"Zapisz"
"FORMS_ADMIN_CONETENT";"Treść"
"FORMS_ADMIN_META_TITLE";"Tytuł"
"FORMS_ADMIN_META_KEYWORDS";"Słowa kluczowe"
"FORMS_ADMIN_META_DESCRIPTION";"Opis"

"ADMIN_ARTICLES_LIST__ALL";"Lista - wszystkie"
"ADMIN_ARTICLES_LIST__ACTIVE";"Lista - aktywne"
"ADMIN_ARTCLES_LIST__INACTIVE";"Lista - nieaktywne"

"TABLE_ARTICLES_LIST__NAME";"Nazwa"
"TABLE_ARTICLES_LIST__CREATED_AT";"Utworzono"
"TABLE_ARTICLES_LIST__STATUS";"Status"
"TABLE_ARTICLES_STATUS_1";"Aktywny"
"TABLE_ARTICLES_STATUS_0";"Nieaktywny"
"TABLE_ARTICLES_LIST__EDIT";"Edycja"
"TABLE_ARTICLES_LIST__ACTION_EDIT";"Edytuj"
"TABLE_ARTICLES_LIST__DELETE";"Usuwanie"
"TABLE_ARTICLES_LIST__ACTION_DELETE";"Usuń"

"ARICLES_EDIT_WAS_SUCESSFULL";"Edycja została ukończona pomyślnie"