"COOMON_SYSTEM_ERROR";"Wystąpił błąd prosimy o kontakt z administratorem"
"COMMON_DELETE_SUSCCESS";"Wybrany element został poprawnie usunięty"
"SITE_CONTACT_SEND_SUCCESS";"Dziękujemy za zgłoszenie, odpowiedzi należy się spodziewać do 3 dni roboczych."
"SITE_EMAIL_ADD_TO_NEWSLETTER_SUCCESS";"Twój email został poprawnie dodany do newslletera"
"COMMON_NOT_ALLOWED";"Brak dostępu do tej części witryny"
"COMMON_TABEL_NO_ITEM";"Brak elementów"
"COMMON_NOT_ALLOWED_LANGUAGE";"Przepraszamy ale wpisany przez Ciebie język jest obecnie nie dostępny."
"LOGOUT_IS_SUCCESSFULL";"Zostałeś poprawnie wylogowany"
"INAVLID_LOGIN_OR_PASSWORD";"Podałeś zły email lub hasło"
"YOUR_ACCOUNT_IS_BLOCK";"Twoje konto zostało zablokowane"
"YOUR_ACCOUNT_IS_INACTIVE";"Twoje konto nie zostało aktywowane, aby otrzymać email aktywacyjny użyj formualarza aktywacji konta"
"ACCOUNT_BIRTH_DATE_IS_INCORRECT";"Podana przez Ciebie data urodzenia nie pasuje do przypisanej do konta."