"ADMIN_MENU_CMS";"CMS"
"ADMIN_MENU_NEWSLETTER";"Newsletter"
"ADMIN_MENU_CONTACT_FORMS";"Formularze kontaktowe"
"ADMIN_MENU_CONTACT";"Kontakt"
"ADMIN_MENU_SYSTEM";"System"
"ADMIN_MENU_CMS_PAGE_MANAGER";"Menadżer stron"

"ADMIN_MENU_CONFIGURATION";"Konfiguracja"
"ADMIN_MENU_SUBSCRIBER";"Lista zapisanych"
"ADMIN_MENU_SEND_NEWSLETTER";"Wysyłka"
"ADMIN_MENU_CMS_NEWS";"Aktualności"
"ADMIN_MENU_CMS_FAQ";"Faq"
"ADMIN_MENU_CMS_SHOUTCAST";"Radia"
"ADMIN_MENU_USERS";"Użytkownicy"   
"ADMIN_MENU_SITE_MAP";"Generuj mapę witryny"      
"ADMIN_MENU_TRANSLATION";"Teksty statyczne"          