"BANNERS_HEADER_GLOBAL";"Galerie"

"BANNERS_FILTR_SEARCH";"Szukaj"
"TABLE_BANNERS_LIST__NAME";"Nazwa"
"TABLE_BANNERS_LIST__STATUS";"Status"
"TABLE_BANNERS_LIST__CREATED_AT";"Utworzono"

"TABLE_BANNERS_LIST__EDIT";""

"BANNERS_STATUS_1";"Aktywne"
"BANNERS_STATUS_2";"Nieaktywne"

"BANNERS_BUTTON_ADD";"Dodaj"
"TABLE_BANNERS_SUBMIT_ACTIVE";"Aktywuj"
"TABLE_BANNERS_SUBMIT_DEACTIVE";"Dezaktwuj"
"TABLE_BANNERS_SUBMIT_DELETE";"Usuń"

"ADMIN_SLIDER_NAME";"Nazwa"
"ADMIN_DESCRIPTION";"Opis"
"ADMIN_STATICBLOCK_IMAGE";"Obrazek"
"ADMIN_SLIDER_STATUS_ACTIVE";"Aktywny"

"ADMIN_SLIDER_SUBMIT";"Zapisz"
"ADMIN_STATICBLOCK_IMAGE_DELETE";"Usuń"

"BANNERSGROUP_HEADER_GLOBAL";"Foldery"
"BANNERSGROUP_FILTR_SEARCH";"Szukaj"
"TABLE_BANNERSGROUP_LIST__NAME";"Nazwa"
"TABLE_BANNERSGROUP_LIST__STATUS";"Status"

"BANNERSGROUP_STATUS_1";"Aktywny"
"BANNERSGROUP_STATUS_2";"Nieaktywny"
"TABLE_BANNERSGROUP_LIST__CREATED_AT";"Utworzono"
"TABLE_BANNERSGROUP_LIST__EDIT";""

"BANNERSGROUP_BUTTON_ADD";"Dodaj"
"TABLE_BANNERSGROUP_SUBMIT_ACTIVE";"Aktywuj"
"TABLE_BANNERSGROUP_SUBMIT_DEACTIVE";"Dezaktwuj"
"TABLE_BANNERSGROUP_SUBMIT_DELETE";"Usuń"

"TABLE_BANNERS_LIST__TYPE";"Typ"

"BANNERS_VIEW_1";"Realizacja"
"BANNERS_VIEW_2";"Projekt"

"TABLE_BANNERSGROUP_LIST__TYPE";"Typy"

"BANNERSGROUP_VIEW_1";"Realizacje"
"BANNERSGROUP_VIEW_2";"Projekt"