"SUBSCRIBER_FORM_NAVI_GLOBAL";"Dane"
"FORM_ADMIN_SUBSCRIBER_EMAIL";"Email"
"FORM_ADMIN_SUBSCRIBER_STATUS";"Sataus"
"ADMIN_SUBSCRIBER_FORM_ADD";"Dodawanie subskrybenta"
"ADMIN_SUBSCRIBER_FORM_EDIT";"Edycja subskrybenta"
"ADMIN_FORM_SUBSCRIBER_STATUS_ACTIVE";"aktywny"
"ADMIN_FORM_SUBSCRIBER_STATUS_INACTIVE";"nieaktywny"
"ADMIN_FORM_SUBSCRIBER_STATUS_BANNED";"zablokowany"
"ADMIN_SUBSCRIBER_EDIT_SUCCESS";"Poprawnie edytowano subskrybenta"
"FORMS_ADMIN_SUBSCRIBER_SAVE";"Zapisz"
"ADMIN_SUBSCRIBER_DELETE";"Czy jesteś że chcesz usunąć wybranego subskrybenta ?"
"ADMIN_SUBSCRIBER_ADD_SUCCESS";"Poprawnie dodano subskrybenta"

"ADMIN_SUBSCRIBER_ADD";"Dodawanie"
"ADMIN_SUBSCRIBER_LIST_ALL";"Wszyscy"
"ADMIN_SUBSCRIBER_LIST_ACTIVE";"Aktywni"
"ADMIN_SUBSCRIBER_LIST_INACTIVE";"Nieaktywni"
"ADMIN_SUBSCRIBER_LIST_BANNED";"Zablokowani"

"TABLE_SUBSCRIBERS_STATUS_2";"Zablokowany"
"TABLE_SUBSCRIBERS_STATUS_1";"Aktwyny"
"TABLE_SUBSCRIBERS_STATUS_0";"Nieaktywny"
"TABLE_SUBSCRIBER_SELECT_ACTION";"Wybierz akcję"
"TABLE_SUBSCRIBER_SELECT_0";"Zmien status na nieaktywny"
"TABLE_SUBSCRIBER_SELECT_1";"Zmien status na aktywny"
"TABLE_SUBSCRIBER_SELECT_2";"Zablokuj"
"TABLE_SUBSCRIBER_SELECT_3";"Wykasuj"

"TABLE_SUBSCRIBERS_LIST__EMAIL";"Email"
"TABLE_SUBSCRIBERS_LIST__STATUS";"Status"
"TABLE_SUBSCRIBERS_LIST__CREATED_AT";"Utworzony"
"TABLE_SUBSCRIBERS_LIST__EDIT";"Edycja"
"TABLE_SUBSCRIBERS_LIST__DELETE";"Usuwanie"
"TABLE_SUBSCRIBERS_LIST__ACTION_DELETE";"Usuń"
"TABLE_SUBSCRIBERS_LIST__ACTION_EDIT";"Edytuj"