"DECLARATION_HEADER_GLOBAL";"Deklaracje"

"TABLE_DECLARATION_LIST__NUMBER";"Numer"
"TABLE_DECLARATION_LIST__WORKS";"Zakład"
"TABLE_DECLARATION_LIST__YEAR";"Rok"
"TABLE_DECLARATION_LIST__LP";"Lp"
"TABLE_DECLARATION_LIST__STATUS";"Status"
"TABLE_DECLARATION_LIST__CREATED_AT";"Utworzono"
"TABLE_DECLARATION_LIST__EDIT";""

"DECLARATION_STATUS_1";"Aktywna"
"DECLARATION_STATUS_2";"Nieaktywna"

"DECLARATION_BUTTON_ADD";"Nowa"
"TABLE_DECLARATION_SUBMIT_ACTIVE";"Aktywuj"
"TABLE_DECLARATION_SUBMIT_DEACTIVE";"Dezaktwuj"
"TABLE_DECLARATION_SUBMIT_DELETE";"Usuń"

"DECLARATION_FILTR_SEARCH";"Szukaj"