"LANGUAGE_HEADER_GLOBAL";"Języki"

"LANGUAGE_BUTTON_ADD";"Nowe"
"TABLE_LANGUAGE_SUBMIT_ACTIVE";"Aktywuj"
"TABLE_LANGUAGE_SUBMIT_DEACTIVE";"Dezaktywuj"
"TABLE_LANGUAGE_SUBMIT_DELETE";"Usuń"
"LANGUAGE_FILTR_SEARCH";"Szukaj"

"TABLE_LANGUAGE_LIST__PREFIX";"Prefix"
"TABLE_LANGUAGE_LIST__NAME";"Nazwa"
"TABLE_LANGUAGE_LIST__STATUS";"Status"
"TABLE_LANGUAGE_LIST__CREATED_AT";"Utworzono"
"TABLE_LANGUAGE_LIST__DEFAULT";"Domyślne"
"TABLE_LANGUAGE_LIST__EDIT";""
"TABLE_LANGUAGE_LIST__TRANSLATE";""
"ADMIN_LISTVIEW_LANGUAGE_TRANSLATE";"Tłumaczenia"

"LANGUAGE_STATUS_0";"Niekatywne"
"LANGUAGE_STATUS_1";"Aktywne"

"LANGUAGE_ADMIN_LANGUAGE_DEFAULT_2";"Nie"
"LANGUAGE_ADMIN_LANGUAGE_DEFAULT_1";"Tak"