"ADMIN_USERS_ADD";"Dodawanie"
"ADMIN_USERS_LIST_ALL";"Wszyscy"
"ADMIN_USERS_LIST_ACTIVE";"Aktywni"
"ADMIN_USERS_LIST_INACTIVE";"Nieaktywni"
"ADMIN_USERS_LIST_BANNED";"Zablokowani"
"ADMIN_USER_FORM_ADD";"Dodowanie użytkownika"
"ADMIN_UERS_FORM_EDIT";"Edycja użytkownika"

"ADMIN_USERS__LIST_ALL";"Lista użytkowników - wszyscy"
"ADMIN_USERS__LIST_ACTIVE";"Lista użytkowników - aktywni"
"ADMIN_USERS__LIST_INACTIVE";"Lista użytkowników - nieaktywni"
"ADMIN_USERS__LIST_BANNED";"Lista użytkowników - zablokowani"

"USER_FORM_NAVI_GLOBAL";"Ogólne"
"USER_FORM_NAVI_DATA";"Personalne"
"USER_FORM_NAVI_SHOUTCAST";"Radio"
"FORM_ADMIN_USER_EMAIL";"Email"
"FORM_ADMIN_USER_PASSWORD";"Hasło"
"FORM_ADMIN_USER_PASSWORD_CONFIRM";"Potwierdz hasło"
"FORM_ADMIN_USER_SAVE";"Zapisz"
"FORM_ADMIN_USER_FIRSTNAME";"Imie"
"FORM_ADMIN_USER_LASTNAME";"Nazwisko"
"FORM_ADMIN_USER_GENDER";"Płeć"
"FORM_ADMIN_USER_BIRDTH_DATE";"Data urodzenia"
"FORM_ADMIN_USER_STATUS";"Status"
"FORM_ADMIN_USER_ROLE";"Rola"
"FORM_ADMIN_USERS_STATUS_CHANGE";"Wybierz status"
"FORM_ADMIN_USERS_TYPE_CHANGE";"Wybierz Typ"


"FORM_ADMIN_USER_GENDER_FEMALE";"Kobieta"
"FORM_ADMIN_USER_GENDER_MALE";"Mężczyzna"

"FORM_ADMIN_USERS_STATUS_INACTIVE";"Niekatywny"
"FORM_ADMIN_USERS_STATUS_ACTIVE";"Aktywny"
"FORM_ADMIN_USERS_STATUS_BANNED";"Zbanowany"

"FORM_AMIN_USERS_ROLE_DEVELOPER";"Developer"
"FORM_AMIN_USERS_ROLE_SADMIN";"Główny administartor"
"FORM_AMIN_USERS_ROLE_ADMIN";"Moderator"
"FORM_AMIN_USERS_ROLE_MEMBER";"Użytkownik"
"FORM_ADMIN_USER_TYPE";"Typ"

"USER_ADD_WAS_SUCESSFULL";"Dodanie użytkownika przebiegło pomyślnie"
"ADMIN_USERS_EDIT_WAS_SUCCESSFUL";"Edycja uzytkownika przebiegła poprawnie"
"ADMIN_USERS_DELETE_WAS_SUCESFULL";"Kasowanie użytkownika przebiegło poprawnie"


"TABLE_USERS_LIST__EMAIL";"Email"
"TABLE_USERS_LIST__FIRSTNAME";"Imię"
"TABLE_USERS_LIST__LASTNAME";"Nazwisko"
"TABLE_USERS_LIST__STATUS";"Status"
"TABLE_USERS_LIST__CREATED_AT";"Utworzono"
"TABLE_USERS_LIST__EDIT";"Edycja"
"TABLE_USERS_LIST__DELETE";"Usuwanie"
"TABLE_USERS_LIST__VIEW";"Podgląd"
"TABLE_USERS_LIST__TYPE";"Typ"

"TABLE_USERS_LIST__ACTION_EDIT";"Edytuj"
"TABLE_USERS_LIST__ACTION_DELETE";"Usuń"
"TABLE_USERS_LIST__ACTION_VIEW";"Zobacz"

"TABLE_USERS_STATUS_1";"Aktywny"
"TABLE_USERS_STATUS_0";"Niaktywny"
"TABLE_USERS_STATUS_2";"Zablokowany" 

"TABLE_USERS_TYPE_0";"Normalny"
"TABLE_USERS_TYPE_1";"Premium"

"FORM_ADMIN_USERS_TYPE_NORMAL";"Normalne"
"FORM_ADMIN_USERS_TYPE_PREMIUM";"Premium"

"ADMIN_USERS_DELETE";"Czy jesteś pewien że chcesz wykasować tego użytkownika?"

"FORM_ADMIN_FILTR_USER_EMAIL";"Email"
"FORM_ADMIN_FILTR_USER_FIRSTNAME";"Imię"
"FORM_ADMIN_FILTR_USER_LASTNAME";"Nazwisko"
"FORM_ADMIN_FILTR_USER_TYPE";"Typ"
"FORM_ADMIN_FILTR_USER_STATUS";"Status"
"FORM_ADMIN_FILTR_USER_SAVE";"Filtruj"

"USERS_HEADER_GLOBAL";"Użytkownicy"
"USERS_BUTTON_ADD";"Dodaj"
"USERS_STATUS_1";"Aktywny"
"USERS_STATUS_0";"Nieaktywny"
"USERS_FILTR_SEARCH";"Szukaj"

"TABLE_USERS_SUBMIT_ACTIVE";"Aktywuj"
"TABLE_USERS_SUBMIT_DEACTIVE";"Dezaktwuj"
"TABLE_USERS_SUBMIT_DELETE";"Usuń"

"ADMIN_USERS_EDIT";"Użytkownicy - edycja"

"TABLE_OFERT_LIST__AUTHOR";"Wystawił"
"TABLE_OFERT_LIST__EMAIL";"Email"